gid,esp_cd,cod_snisb,cod_sar,nmoriginal,nmalternat,nmgenerico,nmligacao,nmespecifi,detipomass,dedominial,dedominio,defiscaliz,nmemp,fonmemp,dtreserv,fodtreserv,nuvolumhm3,fonuvolume,nuperimkm,nuareakm2,nuareaha,nucompgeom,usoprinc,fousoprinc,detipoapr,detipomda,salinidade,regime,nmriocomp,nmufe,nmmun,defonte,desatelite,deversao,deobs,nuvzreg,nuvzlago,nuvzdeflu,cdtipooper,detipooper,fovzlago,fovzdeflu,fovzreg,cobarprin,cotrecho,nuvzrecebe,nuvztransf,deobsvazao,cocda2013,cocda2017
163.0,53981.0,,,Rio Pirapitinga,,Rio,,Pirapitinga,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,22.6367168215273,2.24284215414748,224.284215414748,4.26248821523604,,,,Rio,,,Rio Baiano,PARÁ,BREVES,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,5222,52542
60146.0,58961.0,,,Rio Uraim,,Rio,,Uraim,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,12.2259955388545,0.690298256449988,69.0298256449988,4.14968330052174,,,,Rio,,,Rio Uraim,PARÁ,PARAGOMINAS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,7142,7142
60151.0,59118.0,,,Rio Uraim,,Rio,,Uraim,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,6.08951650063675,0.359526825434624,35.9526825434624,2.86395552821443,,,,,,,,PARÁ,PARAGOMINAS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
23926.0,38601.0,545.0,,Barragem Cia de Tocantins,,Barragem,,Cia de Tocantins,Artificial,Estadual,Corpo Hídrico Estadual,ESTADO,BRK AMBIENTAL,COSER/ANA (RSB2018),,,1.232,SNISB,2.97006441389242,0.281335217301161,28.1335217301161,1.57907561332352,Abastecimento humano,SNISB,,Lago/Lagoa,,Permanente,,PARÁ,XINGUARA,,,hid_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
58077.0,15398.0,,,Lago Caiçara,,Lago,,Caiçara,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.98660912942529,0.200920172170333,20.0920172170333,1.8789521735796,,,,,,,,PARÁ,JURUTI,Carta 1:100000,169-102_20050923,bho_massa_dagua,,,,,,,,,,,,,,,,
60148.0,58984.0,,,Rio Uraim,,Rio,,Uraim,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,9.61011941309424,0.449205129638273,44.9205129638273,4.04348223116268,,,,,,,,PARÁ,PARAGOMINAS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
9093.0,60889.0,,,Furo Jurupari,,Furo,,Jurupari,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,7.38279101400917,0.896562806179157,89.6562806179157,2.19876757651718,,,,Rio,,,Furo Jurupari,PARÁ,BAGRE,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,62372,62372
27298.0,62518.0,656.0,,Barragem 3 Kalunga,,Barragem,,3 Kalunga,Artificial,Federal,Terra da União (Unidade de Conservação),ANM,Vale S.A. - Filial: Vale Manganês do Azul,ANM,,,,,1.78275985711862,0.152416185756324,15.2416185756324,1.2877347343006,Contenção de rejeitos de mineração,ANM,,,,,,PARÁ,PARAUAPEBAS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
60143.0,58920.0,,,Rio Uraim,,Rio,,Uraim,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,3.86604851091395,0.347163111545081,34.7163111545081,1.85033183716939,,,,,,,,PARÁ,PARAGOMINAS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
53839.0,62097.0,,,Rio Guajará,,Rio,,Guajará,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.88232728193895,0.230235938827917,23.0235938827917,1.69397049922631,,,,,,,,PARÁ,ABAETETUBA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
47736.0,15283.0,,,Lagoa Miri,,Lagoa,,Miri,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,4.15649558972332,0.918431466179916,91.8431466179916,1.22307490396025,,,,,,,,PARÁ,ORIXIMINÁ,Carta 1:100000,169-102_20050923,bho_massa_dagua,,,,,,,,,,,,,,,,
33044.0,59096.0,1286.0,,Barragem B5,,Barragem,,B5,Artificial,Estadual,Corpo Hídrico Estadual,ANM,Mineração Paragominas S.A. - Filial: Mineração Paragominas S.A.,ANM,,,,,9.82544894068577,1.29834242269416,129.834242269416,2.43168260230222,Contenção de rejeitos de mineração,ANM,,Represa/Açude,,,,PARÁ,PARAGOMINAS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
809.0,6498.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,52.2624237845247,28.3173564457353,2831.73564457353,2.76956971615263,,,,,,,,PARÁ,"PORTO DE MOZ, PRAINHA",,166-102_20051028,bho_massa_dagua,,,,,,,,,,,,,,,,
8602.0,61907.0,,,Igarapé Pirarucuquara,,Igarapé,,Pirarucuquara,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,3.37565068422437,0.23608592633023,23.608592633023,1.95916745633096,,,,,,,,PARÁ,MUANÁ,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
7006.0,62312.0,,,,,,,,Natural,Federal,Terra da União (Terra Indígena),,,,,,,,1.00130563573158,0.054783038737486,5.4783038737486,1.20640383675397,,,,,,,,PARÁ,ALTAMIRA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
19583.0,60993.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,0.972214127483075,0.046370175058124,4.63701750581236,1.27318545400445,,,,,,,,PARÁ,SANTA BÁRBARA DO PARÁ,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
55536.0,36093.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,3.38019134972302,0.229558337278166,22.9558337278166,1.9894996135052,,,,Lago/Lagoa,,Permanente,,PARÁ,PRAINHA,,,hid_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
18433.0,62160.0,,,,,,,,Natural,Federal,Terra da União (Unidade de Conservação),,,,,,,,2.03065729775888,0.167738486669344,16.7738486669344,1.39820027849189,,,,,,,,PARÁ,ORIXIMINÁ,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
47024.0,60094.0,,,,,,,,Natural,Federal,Terra da União (Terra Indígena),,,,,,,,1.34510442060662,0.107881876551526,10.7881876551526,1.154864049706,,,,,,,,PARÁ,ALTAMIRA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
31482.0,62495.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,1.78767627394542,0.099463645960523,9.94636459605231,1.59847481161484,,,,,,,,PARÁ,NOVO PROGRESSO,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
18115.0,61542.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,6.34474870621703,0.374686459648503,37.4686459648503,2.92300484158551,,,,,,,,PARÁ,CURRALINHO,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
7429.0,61243.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.12713873117228,0.200761501353315,20.0761501353315,1.33876609866582,,,,,,,,PARÁ,PONTA DE PEDRAS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
47595.0,54556.0,,,,,,,,Natural,Federal,Terra da União (Unidade de Conservação),,,,,,,,3.50898398631488,0.246894297029647,24.6894297029647,1.99147548857469,,,,,,,,PARÁ,TRACUATEUA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
7671.0,61769.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,3.49806412945016,0.268467528308407,26.8467528308407,1.90384239352547,,,,,,,,PARÁ,CACHOEIRA DO ARARI,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
7501.0,61256.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.32828683896971,0.102947469903935,10.2947469903935,2.04633980786788,,,,,,,,PARÁ,VITÓRIA DO XINGU,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
