,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
MB0387000,Assen.,PA AQUARIUS CRUZEIRO DO SUL (MB0387000),MB0387000,36.94633718372536,36.656440691262844,3,99.21535796357584
MB0388000,Assen.,PA BELO HORIZONTE II (MB0388000),MB0388000,23.940660820532468,21.64193521602751,9,90.39823661620284
MB0389000,Assen.,PA PEDRA DE AMOLAR (MB0389000),MB0389000,9.398221144534705,6.498474252409578,1,69.14578995822629
MB0390000,Assen.,PA ZUMBI DOS PALMARES (MB0390000),MB0390000,37.8036089128065,37.80360864753568,7,99.99999929829234
MB0391000,Assen.,PA SOL NASCENTE (MB0391000),MB0391000,12.067045146522675,11.69708496148904,2,96.93412777907568
MB0392000,Assen.,PA GABRIEL PIMENTA (MB0392000),MB0392000,50.38886570050012,50.388865700500524,12,100.0000000000008
MB0393000,Assen.,PA NOVA ESPERANÇA (MB0393000),MB0393000,55.72937276408559,55.68149037275227,12,99.91408051273784
MB0394000,Assen.,PA JOÃO VAZ (MB0394000),MB0394000,33.39725411448866,32.79679264225892,5,98.20206334876723
MB0395000,Assen.,PA LIBERDADE (MB0395000),MB0395000,55.70882955187384,50.815333185408164,14,91.21594116080101
MB0396000,Assen.,PA BOM JESUS (MB0396000),MB0396000,48.21756727797278,47.63344179231658,6,98.78856292709929
MB0397000,Assen.,PA SANTA LUCIA (MB0397000),MB0397000,12.569819250066642,11.795049334904064,3,93.83626844786595
MB0398000,Assen.,PA ESTRELA DALVA (MB0398000),MB0398000,27.588319383759195,27.588319235796547,6,99.99999946367647
MB0400000,Assen.,PA VALE DA LIBERDADE (MB0400000),MB0400000,9.21514410072466,8.563360858905593,2,92.9270423262528
MB0401000,Assen.,PA GROTÃO DO SEVERINO (MB0401000),MB0401000,7.652612154003466,7.441387643124193,1,97.23983776221075
MB0402000,Assen.,PA TALISMÃ (MB0402000),MB0402000,23.211358223964528,23.044383756402613,4,99.28063465329865
MB0404000,Assen.,PA CANUDOS (MB0404000),MB0404000,27.55540252114682,27.17333034271119,3,98.61344003905434
MB0405000,Assen.,PA TARUMÃ (MB0405000),MB0405000,44.10122072977774,43.078570068102046,6,97.68112844780012
MB0406000,Assen.,PA ESPERANÇA (MB0406000),MB0406000,22.789347797733758,12.547670061273354,5,55.05936445676226
MB0407000,Assen.,PA LIMEIRA (MB0407000),MB0407000,13.461745110460043,13.461744776419229,1,99.99999751859204
MB0408000,Assen.,PA ANTARES (MB0408000),MB0408000,69.87785665309377,67.69890776991855,18,96.88177487470381
MB0409000,Assen.,PA PARAGOMINAS (MB0409000),MB0409000,16.148206363628297,15.819955075112079,3,97.96725852317839
MB0410000,Assen.,PA TRES LAGOAS (MB0410000),MB0410000,53.0769209539109,52.422880106136034,5,98.76774907809217
MB0411000,Assen.,PA CARUMBÉ (MB0411000),MB0411000,32.25387633996506,30.968027641763488,3,96.01335143519384
MB0380000,Assen.,PA BELO VALE (MB0380000),MB0380000,13.069789249462058,12.92756318615602,2,98.91179528153529
MB0413000,Assen.,PA MUTUÃ (MB0413000),MB0413000,36.80639056513721,36.481470425187524,7,99.1172181380441
MB0420000,Assen.,PA CACHOEIRA PRETA II (MB0420000),MB0420000,53.53469884139945,53.073662986548534,9,99.13880928663339
MB0414000,Assen.,PA PONTA DA SERRA (MB0414000),MB0414000,54.0398888614151,39.019275306575636,6,72.20458096544256
MB0415000,Assen.,PA VALE DO MUCURA II (MB0415000),MB0415000,91.38330284951796,90.62399038944694,10,99.16909059270775
MB0416000,Assen.,PA COCALINHO (MB0416000),MB0416000,12.933839030940906,11.396346432876712,3,88.11263543340739
MB0417000,Assen.,PA RAINHA DA PAZ (MB0417000),MB0417000,39.32027620599696,38.84265815641767,9,98.78531359475433
MB0418000,Assen.,PA GAVIÃO (MB0418000),MB0418000,94.05152822174976,88.77385161211875,18,94.38852647116208
MB0419000,Assen.,PA MANTENHA (MB0419000),MB0419000,11.279451980826076,11.12805328916128,1,98.6577478061686
MB0424000,Assen.,PA DOMINGOS OLIVEIRA BEZERRA (MB0424000),MB0424000,72.94161219547806,72.42178237028155,11,99.28733433557322
MB0425000,Assen.,PA SÃO SEBASTIÃO DO CRISTALINO (MB0425000),MB0425000,57.33215833640398,56.122817464200644,10,97.89064129574999
MB0426000,Assen.,PA SÃO PEDRO II (MB0426000),MB0426000,53.927941213259,53.099334385279406,14,98.4634925618561
MB0427000,Assen.,PA PIONEIRA (MB0427000),MB0427000,20.388223114610334,20.388223114610334,1,100.0
MB0428000,Assen.,PA RIBEIRÃO DAS PEDRAS (MB0428000),MB0428000,20.196280123713063,20.196279939558053,1,99.99999908817362
MB0430000,Assen.,PA ARIZONA (MB0430000),MB0430000,74.9424920569569,74.94127400659185,14,99.99837468660088
MB0431000,Assen.,PA CONSOLAÇÃO (MB0431000),MB0431000,48.641294348119715,47.94265330578492,3,98.5636873942237
MB0432000,Assen.,PA PANORAMA (MB0432000),MB0432000,35.86269995421239,34.270433800313576,9,95.56010519026249
MB0433000,Assen.,PA CRISTO VIVE (MB0433000),MB0433000,70.03173285593762,69.3331435622429,18,99.00246750265084
MB0434000,Assen.,PA SERRA GRANDE (MB0434000),MB0434000,69.44271420776484,67.26519856115658,23,96.86429934162226
MB0436000,Assen.,PA ITAMARATY (MB0436000),MB0436000,69.54050464912507,67.99474231809879,12,97.77717700090672
MB0437000,Assen.,PA ÁGUA BOA (MB0437000),MB0437000,6.50569100665194,6.4746781948481695,1,99.52329719053579
MB0438000,Assen.,PA SUMAUMA II (MB0438000),MB0438000,51.41959526408808,51.4195952552076,12,99.99999998272938
MB0439000,Assen.,PA CAMPOS VERDES (MB0439000),MB0439000,46.76192755697847,46.76192748491718,9,99.99999984589752
MB0440000,Assen.,PA BOM FUTURO (MB0440000),MB0440000,34.693889004216516,30.616809247879345,4,88.24842105235979
MB0441000,Assen.,PA SUNIL (MB0441000),MB0441000,23.632538722079158,23.63253872207954,5,100.00000000000162
MB0442000,Assen.,PA JORDÃO (MB0442000),MB0442000,30.366467464623376,30.366467026271312,6,99.99999855646013
MB0443000,Assen.,PA CARAJÁS (MB0443000),MB0443000,51.109262724593314,51.10926272459333,3,100.00000000000003
MB0444000,Assen.,PA VIDA NOVA (MB0444000),MB0444000,58.361858527958674,23.655459563364374,15,40.53239591750159
MB0445000,Assen.,PA BARRACA DO MEIO (MB0445000),MB0445000,43.905961999254835,42.43433036730436,4,96.64821913712892
MB0446000,Assen.,PA UXI (MB0446000),MB0446000,70.39109184831531,68.7613663832655,11,97.68475609305551
MB0447000,Assen.,PA BERRANTE DE OURO (MB0447000),MB0447000,67.06851343910174,65.77863389220784,13,98.07677331619239
MB0448000,Assen.,PA PEDRA BRANCA (MB0448000),MB0448000,54.037025790033134,52.151683717592846,13,96.51101805683015
MB0450000,Assen.,PA RIO BANDEIRA (MB0450000),MB0450000,111.57449952477926,110.85970608285236,17,99.35935769824525
MB0451000,Assen.,PA SANTIAGO (MB0451000),MB0451000,37.29887424029983,37.02066911367426,4,99.25411924007888
MB0452000,Assen.,PA NOVA DESCOBERTA (MB0452000),MB0452000,36.975891907484616,34.18482825836758,9,92.45166646392086
MB0453000,Assen.,PA LIMPEZA (MB0453000),MB0453000,37.75077145661856,37.39198117581307,4,99.04958159274231
MB0454000,Assen.,PA MAL ARRUMADO (MB0454000),MB0454000,8.030227524485401,7.518433224293348,1,93.6266525620661
MB0455000,Assen.,PA JOSÉ INOCÊNCIO NERES (MB0455000),MB0455000,39.8006824018099,39.789124784339705,12,99.97096125801684
MB0456000,Assen.,PA ÁGUA BRANCA (MB0456000),MB0456000,36.40542449247621,33.737397218071656,5,92.67134688964843
MB0458000,Assen.,PA COLÔNIA PODEROSA (MB0458000),MB0458000,75.6892066532484,75.68920665324912,16,100.00000000000094
MB0459000,Assen.,PA OESTE (MB0459000),MB0459000,55.157651382426806,53.440774357285036,12,96.88732753822661
MB0422000,Assen.,PA PADRE JOSIMO TAVARES II (MB0422000),MB0422000,10.917698737515487,10.456523041107289,1,95.77588915488663
MB0423000,Assen.,PA REINO ENCANTADO (MB0423000),MB0423000,23.30653579774528,22.98598505919748,3,98.62463155687507
MB0462000,Assen.,PA NOVA JERUZALÉM (MB0462000),MB0462000,5.800192057053716,5.800191895296647,1,99.99999721117736
MB0463000,Assen.,PA SÃO VICENTE (MB0463000),MB0463000,55.531405336816405,55.53140483945295,8,99.99999910435643
MB0467000,Assen.,PA HAMILTON CORDEIRO CELSO (MB0467000),MB0467000,140.9239703476087,140.9239703476092,30,100.00000000000036
MB0468000,Assen.,PA SERRA VERDE (MB0468000),MB0468000,140.323801141822,139.02324847113525,24,99.07317742243006
MB0469000,Assen.,PA CENTRO NOVO (MB0469000),MB0469000,35.62578632206844,35.268330766825926,14,98.9966381316864
MB0470000,Assen.,PA CENTRO DOS MARANHENSES (MB0470000),MB0470000,21.230047225308123,20.800298795290043,3,97.97575377267282
MB0460000,Assen.,PA RIO CURURUÍ (MB0460000),MB0460000,782.5792441261345,781.107013451073,106,99.81187455633257
MB0461000,Assen.,PA PETRONÍLIO ALVES BATISTA (MB0461000),MB0461000,6.542615732934557,1.273682730967724,1,19.467484916716018
MB0475000,Assen.,PA NOSSA SENHORA APARECIDA II (MB0475000),MB0475000,22.589140725951307,21.44140131861788,3,94.9190656640832
MB0476000,Assen.,PA TIRADENTES (MB0476000),MB0476000,43.47339171193707,43.47339126646894,7,99.99999897530854
MB0477000,Assen.,PA ARARANDEUA (MB0477000),MB0477000,152.3174980095632,151.76052573936917,10,99.6343346775831
MB0478000,Assen.,PA IRMÃ DOROTY (MB0478000),MB0478000,30.987736345677906,30.98773603824263,2,99.99999900788083
MB0479000,Assen.,PA BOM JESUS (MB0479000),MB0479000,15.224044670910153,15.063401822685456,1,98.94480834957315
MB0480000,Assen.,PA COSME E DAMIÃO (MB0480000),MB0480000,15.557569127082408,15.557569080798306,2,99.99999970249786
MB0481000,Assen.,PA SANTA CECILIA (MB0481000),MB0481000,9.346329855732087,9.346329440373616,3,99.99999555591897
MB0483000,Assen.,PA CENTRO NOVO II (MB0483000),MB0483000,19.749667647662605,19.719858440424606,8,99.84906476519099
MB0484000,Assen.,PA SANTA ELIZA (MB0484000),MB0484000,9.701233617425324,7.862359719335886,3,81.04494778080121
MB0485000,Assen.,PA MORADA NOVA (MB0485000),MB0485000,148.32543923802766,148.32543873254562,24,99.99999965920746
MB0486000,Assen.,PA MORADA NOVA II (MB0486000),MB0486000,113.18824715317385,113.18824674802438,30,99.99999964205695
MB0487000,Assen.,PA COLONIA MURAD (MB0487000),MB0487000,25.899987994756522,25.015418635662108,9,96.58467270612829
MB0489000,Assen.,PA DEUS É PAZ (MB0489000),MB0489000,47.254190322146016,46.61928457905965,1,98.65640329723561
MB0491000,Assen.,PA POMBAL (MB0491000),MB0491000,912.6264258666756,912.6264258665763,157,99.99999999998911
MB0492000,Assen.,PA FELICIDADE (MB0492000),MB0492000,53.082774930899845,53.0827745757374,13,99.99999933092714
MB0493000,Assen.,PA 1º DE MAIO (MB0493000),MB0493000,29.884560534502402,28.331557779764942,12,94.80332744748084
MB0494000,Assen.,PA OURO VERDE (MB0494000),MB0494000,29.192964911780997,28.251030371759693,6,96.77341940817674
MB0496000,Assen.,PA BEIRA RIO II (MB0496000),MB0496000,34.68079204106318,34.38349262595587,13,99.14275482879601
MB0497000,Assen.,PA RECANTO DA IARA (MB0497000),MB0497000,17.29811560636573,15.186036873102722,3,87.79012245422987
MB0499000,Assen.,PA ANTONIO NONATO (MB0499000),MB0499000,44.9256974107561,44.83685878633809,2,99.8022543231644
MB0500000,Assen.,PA UNIÃO DA VITÓRIA (MB0500000),MB0500000,10.16289714540711,10.16289693199173,1,99.99999790005373
MB0501000,Assen.,PA MARIA PRETA (MB0501000),MB0501000,29.104429373786928,29.104429373786903,2,99.99999999999991
MB0503000,Assen.,PA PROGRESSO (MB0503000),MB0503000,14.772430436925282,14.680159285059887,1,99.37538272893299
MB0471000,Assen.,PA ÁGUA DA SAÚDE (MB0471000),MB0471000,18.60936908360173,18.407477014897328,5,98.91510524726867
MB0504000,Assen.,PA BARRA MANSA (MB0504000),MB0504000,182.5323710077533,167.7436068197154,36,91.89800466274022
MB0505000,Assen.,PA 26 DE MARÇO (MB0505000),MB0505000,102.99359472032668,102.65832795806213,4,99.67447804577075
MB0506000,Assen.,PA MAMUI (MB0506000),MB0506000,20.104306049704913,20.10430581651906,2,99.99999884011986
MB0507000,Assen.,PA AGUA FRIA DOS MENDES (MB0507000),MB0507000,35.26517788542674,34.52225257158118,9,97.89331754894515
MB0508000,Assen.,PA UNIAO BATENTE (MB0508000),MB0508000,39.678009373521725,39.67800911944158,2,99.99999935964495
MB0509000,Assen.,PA PRATA (MB0509000),MB0509000,27.97894974629581,27.978949537487864,2,99.99999925369627
