,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Baião,3768.4766655732715,2717,3462.424612360061,91.87862681997919,323.01878292528687,391.50831448634824,39,11.307345525697611,93.528154674683,135.01508261197537,7,3.89943746731705,116.97067249185176,0.0,0,0.0,559.6089464110294,644.0990340521281,16,18.602543193369247
Bannach,2983.7491890249753,1003,3490.0387646534155,116.96823504772816,286.5783432914707,310.74037434254285,79,8.903636758699482,0.0,0.0,0,0.0,166.3723061381723,1.8749102106629585,1,0.05372175889998029,0.0,0.0,0,0.0
Barcarena,1311.8105295863058,1532,644.6689079688047,49.14344666619715,216.65757864066603,325.2940280333183,14,50.459084347380866,2.6501852808345245,2.5420459276004572,1,0.3943180594221346,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Belém,1060.5440269344488,2215,335.8141849719106,31.66433230901285,67.94818955435244,96.70804995879709,15,28.79808366846871,3.63089048183023e-06,0.0,0,0.0,0.0,0.0,0,0.0,62.702478021729284,59.684885481763125,6,17.77318771890339
Belterra,4408.625373024257,1914,4182.955177207337,94.88116642439697,313.43617082263745,479.191083129554,56,11.455802484823083,0.0,0.0,0,0.0,374.9836270116456,367.70895150890993,2,8.790650053161773,2474.6189131818983,2458.3174777558897,4,58.76987377610712
Benevides,188.0239926348828,659,85.7182538627227,45.58899779836927,2.093834307185682,2.136721685296619,3,2.4927265652407793,0.0,0.0,0,0.0,0.0,0.0,0,0.0,19.765840453577148,4.248050453325734,3,4.955829431767198
Bom Jesus do Tocantins,2829.5206522039452,2040,2308.704831226769,81.59349639058095,95.7135980967986,99.59976653676685,7,4.314097029192028,0.0,0.0,0,0.0,634.9397295362361,6.577659876195349,2,0.28490692215081476,0.0,0.0,0,0.0
Bonito,587.6071580479272,717,476.222469304292,81.04436148911748,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Bragança,2126.843899178463,1659,887.7677309030947,41.741085523296434,0.0,0.0,0,0.0,0.7692400845326824,0.7692400845245503,1,0.08664879987719643,0.0,0.0,0,0.0,1.159604881864743,0.0,0,0.0
Brasil Novo,6377.960959348763,3450,5798.75646094167,90.91865719939695,978.2989684014252,1609.4795892970901,204,27.75559898295373,0.0,0.0,0,0.0,1561.475409433398,0.0,0,0.0,1.1973906890005115,1.898339340855007,8,0.03273700755742263
Brejo Grande do Araguaia,1295.780081805277,970,1416.5047340960143,109.31675474765316,66.91875664114215,70.24411724968779,8,4.958975113804771,0.0,0.0,0,0.0,42.10698455100745,0.0,0,0.0,0.0,0.0,0,0.0
Breu Branco,3953.0833204350038,3430,4238.093443138079,107.20981825072467,173.71216738694255,181.74575974684194,30,4.288384911406508,0.0,0.0,0,0.0,0.0,0.0,0,0.0,415.9347648999245,156.93009790021426,29,3.7028465748979804
Breves,9575.956233299808,1291,11369.794154605477,118.73272890562829,5310.344006220293,7504.939488959882,73,66.00769888098557,0.0,0.0,0,0.0,0.0,0.0,0,0.0,930.3665238327559,1783.9709808356474,23,15.690442206581443
Bujaru,995.8414824650802,1683,632.3782155235324,63.50189529744832,33.31373465363723,64.34094678039109,8,10.174440738304781,19.71476552346064,19.538178803996054,2,3.089635019735905,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Cachoeira do Piriá,2422.9291519371236,1835,3982.7356798230476,164.37689383690247,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Cachoeira do Arari,3103.1199379260247,270,2979.814080549419,96.02639086328652,44.27595265349855,74.96745199692674,3,2.5158432697621262,111.7398056859841,225.24616773283955,8,7.55906783591373,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Cametá,3086.97157092646,2321,1595.9354408389247,51.69906506006316,313.37233245014573,335.8652279631527,40,21.045038500216563,235.6234546792119,208.88703083476375,6,13.088689272102355,0.0,0.0,0,0.0,0.08893845647042743,0.0,0,0.0
Canaã dos Carajás,3168.7132410619247,2308,5163.50058905988,162.9525992490708,337.6871485544226,740.097238531566,53,14.333245939772723,0.0,0.0,0,0.0,0.323308933941462,0.0,0,0.0,1845.9816874047958,2297.1679913977373,59,44.48857808334216
Capanema,622.082556641834,2148,572.3514348636052,92.00570386562669,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.16852432886146232,0.0,0,0.0
Capitão Poço,2905.1495123791506,4172,3465.9019712454947,119.30201721036792,739.2459254539904,965.018741601386,115,27.843220887594818,6.4398591264902905,0.010360747155681927,2,0.0002989336467574334,0.0,0.0,0,0.0,0.0,0.0,0,0.0
