City,Number of Shapes,Total Overlap Area
Santana do Araguaia,184,0.682597776203095
Santana do Araguaia,184,0.682597776203095
Santana do Araguaia,184,0.682597776203095
Santarém,282,2.509575260908147
Santarém,282,2.509575260908147
Santarém,282,2.509575260908147
Santarém Novo,0,0.0
Santarém Novo,0,0.0
Santarém Novo,0,0.0
Santo Antônio do Tauá,0,0.0
Santo Antônio do Tauá,0,0.0
Santo Antônio do Tauá,0,0.0
São Caetano de Odivelas,0,0.0
São Caetano de Odivelas,0,0.0
São Caetano de Odivelas,0,0.0
São Domingos do Araguaia,8,0.04068873979948679
São Domingos do Araguaia,8,0.04068873979948679
São Domingos do Araguaia,8,0.04068873979948679
São Domingos do Capim,16,0.03913772772976304
São Domingos do Capim,16,0.03913772772976304
São Domingos do Capim,16,0.03913772772976304
São Félix do Xingu,627,2.716322157209836
São Félix do Xingu,627,2.716322157209836
São Félix do Xingu,627,2.716322157209836
São Francisco do Pará,0,0.0
São Francisco do Pará,0,0.0
São Francisco do Pará,0,0.0
São Geraldo do Araguaia,10,0.0398383730343579
São Geraldo do Araguaia,10,0.0398383730343579
São Geraldo do Araguaia,10,0.0398383730343579
São João da Ponta,0,0.0
São João da Ponta,0,0.0
São João da Ponta,0,0.0
São João de Pirabas,8,0.009655779212928421
São João de Pirabas,8,0.009655779212928421
São João de Pirabas,8,0.009655779212928421
São João do Araguaia,4,0.006107430290863164
São João do Araguaia,4,0.006107430290863164
São João do Araguaia,4,0.006107430290863164
São Miguel do Guamá,4,0.005604117999571798
São Miguel do Guamá,4,0.005604117999571798
São Miguel do Guamá,4,0.005604117999571798
São Sebastião da Boa Vista,66,0.9981828614692784
São Sebastião da Boa Vista,66,0.9981828614692784
São Sebastião da Boa Vista,66,0.9981828614692784
Sapucaia,30,0.1761826303410821
Sapucaia,30,0.1761826303410821
Sapucaia,30,0.1761826303410821
Senador José Porfírio,34,0.37629330734099536
Senador José Porfírio,34,0.37629330734099536
Senador José Porfírio,34,0.37629330734099536
Soure,12,0.028849715678096657
Soure,12,0.028849715678096657
Soure,12,0.028849715678096657
Tailândia,134,0.3900125124777551
Tailândia,134,0.3900125124777551
Tailândia,134,0.3900125124777551
Terra Alta,0,0.0
Terra Alta,0,0.0
Terra Alta,0,0.0
Terra Santa,8,0.22683177154508033
Terra Santa,8,0.22683177154508033
Terra Santa,8,0.22683177154508033
Tomé-Açu,220,0.6266487961042866
Tomé-Açu,220,0.6266487961042866
Tomé-Açu,220,0.6266487961042866
Tracuateua,6,0.0085079078419851
Tracuateua,6,0.0085079078419851
Tracuateua,6,0.0085079078419851
Trairão,22,0.1010208182360958
Trairão,22,0.1010208182360958
Trairão,22,0.1010208182360958
Tucumã,24,0.6702462129247069
Tucumã,24,0.6702462129247069
Tucumã,24,0.6702462129247069
Tucuruí,16,0.04273297934968913
Tucuruí,16,0.04273297934968913
Tucuruí,16,0.04273297934968913
Ulianópolis,38,0.08267282929309971
Ulianópolis,38,0.08267282929309971
Ulianópolis,38,0.08267282929309971
Uruará,86,0.545306157768502
Uruará,86,0.545306157768502
Uruará,86,0.545306157768502
Vigia,0,0.0
Vigia,0,0.0
Vigia,0,0.0
Viseu,76,0.1300440354346476
Viseu,76,0.1300440354346476
Viseu,76,0.1300440354346476
Vitória do Xingu,4,0.00490267085406564
Vitória do Xingu,4,0.00490267085406564
Vitória do Xingu,4,0.00490267085406564
Xinguara,40,0.3042474919957301
Xinguara,40,0.3042474919957301
Xinguara,40,0.3042474919957301
