,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Anapu,0.9687441608525758,4355,0.873107944221567,90.12781490761803,0.19527705776795504,0.39123342625998353,408,44.80928490563601,0.0,0.0,0,0.0,0.4258261505795882,0.0011593802800385071,2,0.1327877369243468,0.0,0.0,0,0.0
Augusto Corrêa,0.08934669107945437,1158,0.02645162077363963,29.605596417797603,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Aurora do Pará,0.1473047302790173,2193,0.1963279637961734,133.280148861682,0.04188822778261912,0.057707941942921746,64,29.39364358855869,0.0,0.0,0,0.0,0.0005788938874606867,0.0,0,0.0,0.0,0.0,0,0.0
Aveiro,1.3899486513651285,2647,1.1709486076908764,84.24401912551498,0.15369218899898276,0.2050649512512382,158,17.512720020704286,0.0,0.0,0,0.0,0.0011484254905929437,0.0011484254905929437,1,0.09807650677835053,0.2859751681396324,0.30053310697129754,16,25.66578114507964
Bagre,0.357547641221619,505,0.41334709141598713,115.6061581062933,0.026196294630136313,0.055242197077846604,21,13.364602830179727,0.006220509303415205,0.0054515587868409834,7,1.3188816130690044,0.0,0.0,0,0.0,3.872908426219989e-05,4.041127093983851e-05,2,0.009776594968021472
Baião,0.30591313957821076,2717,0.2810687919063463,91.87862681997919,0.026221653680420207,0.03178141946575458,39,11.307345525697611,0.0075923228334853765,0.010960101780531462,7,3.89943746731705,0.009495313049819199,0.0,0,0.0,0.04542730257468916,0.0522859434174592,16,18.602543193369247
Bannach,0.24221141939583102,1003,0.28331042235135423,116.96823504772816,0.0232635328572692,0.025224930905701933,79,8.903636758699482,0.0,0.0,0,0.0,0.013505583031612894,0.0001521993420341104,1,0.05372175889998029,0.0,0.0,0,0.0
Barcarena,0.10648867254600747,1532,0.052332203998188505,49.14344666619715,0.017587584049773276,0.026406350956289362,14,50.459084347380866,0.00021513374545486844,0.00020635533125848966,1,0.3943180594221346,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Belém,0.08609164437829465,2215,0.0272603443662368,31.66433230901285,0.005515821335745296,0.00785045677890157,15,28.79808366846871,2.9474432385595244e-10,0.0,0,0.0,0.0,0.0,0,0.0,0.005089990893719125,0.004845032177030771,6,17.77318771890339
Belterra,0.3578784078475512,1914,0.3395592077468172,94.88116642439697,0.025443767225539985,0.038899232158505465,56,11.455802484823083,0.0,0.0,0,0.0,0.030439997062342666,0.029849461676311282,2,8.790650053161773,0.2008818172888791,0.1995585177879538,4,58.76987377610712
Benevides,0.015263199167034624,659,0.006958339532220131,45.58899779836927,0.00016997091491086633,0.00017345237801930216,3,2.4927265652407793,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0016045290567391532,0.0003448434385000572,3,4.955829431767198
Bom Jesus do Tocantins,0.22969162954480438,2040,0.18741343146210654,81.59349639058095,0.007769730289590252,0.008085197279013575,7,4.314097029192028,0.0,0.0,0,0.0,0.051542419747429215,0.0005339538392759144,2,0.28490692215081476,0.0,0.0,0,0.0
Bonito,0.04770010975501853,717,0.03865824938056301,81.04436148911748,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Bragança,0.1726505302618005,1659,0.07206620549300294,41.741085523296434,0.0,0.0,0,0.0,6.24445021773814e-05,6.244450217672125e-05,1,0.08664879987719643,0.0,0.0,0,0.0,9.413309450000269e-05,0.0,0,0.0
Brasil Novo,0.5177429063063682,3450,0.4707248981588818,90.91865719939695,0.07941524797109983,0.1306525150458966,204,27.75559898295373,0.0,0.0,0,0.0,0.12675568598784928,0.0,0,0.0,9.720042804567591e-05,0.00015410124548494308,8,0.03273700755742263
Brejo Grande do Araguaia,0.10518737097385268,970,0.11498742035299066,109.31675474765316,0.005432255194194729,0.005702197559310888,8,4.958975113804771,0.0,0.0,0,0.0,0.003418113202038469,0.0,0,0.0,0.0,0.0,0,0.0
Breu Branco,0.3208989299618147,3430,0.3440351595805818,107.20981825072467,0.014101409992462122,0.01475355187338697,30,4.288384911406508,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.03376428225034658,0.012739094122974373,29,3.7028465748979804
Breves,0.7773461522407096,1291,0.9229642995982943,118.73272890562829,0.43107710391940535,0.6092274956578396,73,66.00769888098557,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.07552424215975574,0.14481718001584956,23,15.690442206581443
Bujaru,0.08083929435098931,1683,0.05133448405796129,63.50189529744832,0.0027043047001113125,0.0052229966587917865,8,10.174440738304781,0.0016003829537876832,0.0015860481966555172,2,3.089635019735905,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Cachoeira do Piriá,0.19668580427096868,1835,0.323306015678748,164.37689383690247,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Cachoeira do Arari,0.25190156313579953,270,0.24189197960751135,96.02639086328652,0.003594183243267478,0.00608562308904995,3,2.5158432697621262,0.009070687656243888,0.018284778828166388,8,7.55906783591373,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Cametá,0.25059068925059624,2321,0.12955304347012647,51.69906506006316,0.025438585026288783,0.02726448787649042,40,21.045038500216563,0.019127174499358857,0.016956795302356543,6,13.088689272102355,0.0,0.0,0,0.0,7.21974549999492e-06,0.0,0,0.0
Canaã dos Carajás,0.2572262221633899,2308,0.4191568149654333,162.9525992490708,0.027412385687090975,0.06007877716231363,53,14.333245939772723,0.0,0.0,0,0.0,2.6245207231678944e-05,0.0,0,0.0,0.14985101506843987,0.18647690691754681,59,44.48857808334216
Capanema,0.050498714697545855,2148,0.04646169790057174,92.00570386562669,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.3680277500001e-05,0.0,0,0.0
Capitão Poço,0.2358309436794188,4172,0.2813510730157933,119.30201721036792,0.06000967023146694,0.0783372007294055,115,27.843220887594818,0.0005227676057604966,8.410530227572801e-07,2,0.0002989336467574334,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Castanhal,0.08364152134141377,2207,0.06626481384586426,79.22478307798819,0.002787252150105111,0.0027872520079282874,2,4.206232306653113,6.273885913535569e-11,1.429472865731906e-11,1,2.157212527687683e-08,0.0,0.0,0,0.0,1.2483460999997518e-05,0.0,0,0.0
Chaves,1.0183640086778691,1261,0.9938401861434195,97.59184119573426,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Colares,0.03120537923565901,151,0.0061691792079262035,19.76960177710822,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Conceição do Araguaia,0.47833836827000803,6220,0.6828421472227377,142.75295324779242,0.17174795977705196,0.1840917395995816,219,26.959633401119326,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Concórdia do Pará,0.05694848862291498,1536,0.06720050892261857,118.00226932726423,0.010518683870823935,0.011616044227291537,11,17.285649191537253,0.004694342000796284,0.004692054311293878,2,6.982170799772932,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Cumaru do Norte,1.4029140676171223,1809,1.3324545073421892,94.97762821677239,0.03582352452459073,0.034821912155688556,109,2.6133659321057703,0.0,0.0,0,0.0,0.3300698240972363,0.00014899672798879764,1,0.011182124955695288,0.0,0.0,0,0.0
Curionópolis,0.19357666765594417,1011,0.2196062348118083,113.44664492423648,0.014171017523158646,0.015521388277648582,33,7.067826781397916,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Curralinho,0.2939882991290366,931,0.42946057608494315,146.0808397331641,0.042766158020595316,0.04575189736998259,49,10.653340473546356,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.09925480607700102,0.3047182820313766,10,70.95372637210505
Curuá,0.11633986465917692,730,0.13596803501583118,116.87140552737955,0.05456668007304391,0.09390703373723246,107,69.06552244157868,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Curuçá,0.05494945468241338,723,0.012349018724887743,22.473414515685917,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8.407401991727345e-05,0.0,0,0.0
Dom Eliseu,0.4291369950305761,2666,0.4776301942051755,111.30016748407911,0.011361376822295193,0.012921376374153236,21,2.705309783786953,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Eldorado do Carajás,0.2415215852950132,5916,0.4865420435087787,201.4486791789142,0.13791805098826596,0.18655354554505632,313,38.34273893365812,0.0,0.0,0,0.0,2.1325056551853064e-05,2.7437211973393447e-05,3,0.005639227347245356,0.0,0.0,0,0.0
Faro,0.9565682750762802,798,0.1984170869083096,20.74259538792326,0.02799591702161672,0.06192270004334925,43,31.208350554992432,0.00020966550773565288,0.00029184682135849127,5,0.1470875446797364,0.0,0.0,0,0.0,0.0942703927167189,0.0944330809735989,2,47.59322014299974
Floresta do Araguaia,0.2821990778986212,2606,0.33134935222703504,117.41687984752059,0.04466765863359347,0.047857821902277976,80,14.44331234711049,0.0,0.0,0,0.0,0.00024615954466488624,0.0,0,0.0,0.0,0.0,0,0.0
Garrafão do Norte,0.1307281609435149,1753,0.15697200101276682,120.07512373756362,0.0331027989887155,0.047642312096835296,53,30.350834409609433,0.0006404342358959513,0.0005795004966221692,2,0.36917443421966534,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Goianésia do Pará,0.5720099020977124,3829,0.5600443224678763,97.90815166206824,0.02674442469130127,0.03125148118935752,22,5.5801799849779,0.0,0.0,0,0.0,0.13203437060624004,0.1283462557781226,50,22.917160415546295,0.07831815505585701,0.016478806135389722,69,2.9424110689623024
