,Unnamed: 0,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.,Área CAR sob Quil.,PC CAR sob Quil.,Área CAR sob TIs,PC CAR sob TIs,Área CAR sob UCs,PC CAR sob UCs
296543,PA-1507201-06F898A64BFF41ECAB6D835D1D1806AD,PA-1507201-06F898A64BFF41ECAB6D835D1D1806AD,Aguardando analise,Sao Domingos do Capim,0.0588646806388363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296545,PA-1507201-A9CC088E96CB4B22B5E48572D684BF24,PA-1507201-A9CC088E96CB4B22B5E48572D684BF24,Aguardando analise,Sao Domingos do Capim,0.0125989988243289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296548,PA-1507201-3C508899632548B8B1C754B2D593A5BE,PA-1507201-3C508899632548B8B1C754B2D593A5BE,Aguardando analise,Sao Domingos do Capim,0.0418381288117032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296575,PA-1507201-4B864793EEF04B52BB4DB66E5BD515FD,PA-1507201-4B864793EEF04B52BB4DB66E5BD515FD,Aguardando analise,Sao Domingos do Capim,0.0045478588386056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298348,PA-1507300-34504EBA9983492692161D6D5CB5BC7B,PA-1507300-34504EBA9983492692161D6D5CB5BC7B,Aguardando analise,Sao Felix do Xingu,0.0156621308319005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299387,PA-1507300-6C9516ECD09442B28E305D717AE1437E,PA-1507300-6C9516ECD09442B28E305D717AE1437E,Aguardando analise,Sao Felix do Xingu,0.0086139825187555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300027,PA-1504208-863013E58A6743788DDAB908F80FA51F,PA-1504208-863013E58A6743788DDAB908F80FA51F,Aguardando analise,Maraba,0.038790191691147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300950,PA-1500602-A003F41115EF4CB4B9EBD84518844882,PA-1500602-A003F41115EF4CB4B9EBD84518844882,Aguardando analise,Altamira,0.0169162767610257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300994,PA-1500602-488C7C1291F0438399A496F094A756C7,PA-1500602-488C7C1291F0438399A496F094A756C7,Aguardando analise,Altamira,0.1372971498791053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302013,PA-1506583-EAE3CA8F0C3D43B4BA58DEF03CE0534D,PA-1506583-EAE3CA8F0C3D43B4BA58DEF03CE0534D,Aguardando analise,Santa Maria das Barreiras,2.1364870069766334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305280,PA-1507300-02D1F64CEED149CB9120C46D36FF0FAE,PA-1507300-02D1F64CEED149CB9120C46D36FF0FAE,Aguardando analise,Sao Felix do Xingu,0.0183591461080897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309428,PA-1507300-DCE309BD77394EA8AEA038401F192810,PA-1507300-DCE309BD77394EA8AEA038401F192810,Aguardando analise,Sao Felix do Xingu,0.0905336318362339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309430,PA-1507300-0A17CE025737425980787ECA6B52BD31,PA-1507300-0A17CE025737425980787ECA6B52BD31,Aguardando analise,Sao Felix do Xingu,0.0042522760573744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310458,PA-1500602-5C7CAD8BE9D042C3BC1A46638C446ECF,PA-1500602-5C7CAD8BE9D042C3BC1A46638C446ECF,Aguardando analise,Altamira,0.0511319882288915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314574,PA-1508084-46DCFC1C67A441989FC34B814D0E5998,PA-1508084-46DCFC1C67A441989FC34B814D0E5998,Aguardando analise,Tucuma,0.0576489245128183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326420,PA-1502707-45C57833A720482199E3F77F5EC8D118,PA-1502707-45C57833A720482199E3F77F5EC8D118,"Analisado, aguardando atendimento a notificacao",Conceicao do Araguaia,1.9706296513744872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328509,PA-1507300-5258DCB114B046A9BA51DD687C70C30F,PA-1507300-5258DCB114B046A9BA51DD687C70C30F,Aguardando analise,Sao Felix do Xingu,0.000202339318056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332972,PA-1504208-0C25FE3BA79244DC9BA37B4375F903D7,PA-1504208-0C25FE3BA79244DC9BA37B4375F903D7,Aguardando analise,Maraba,0.0006849079384129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345237,PA-1506187-455F75B148174F34BEF9A062878AAFB8,PA-1506187-455F75B148174F34BEF9A062878AAFB8,Aguardando analise,Rondon do Para,0.0011747789054351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345897,PA-1506187-CA5218C91FBE43D0B2868F3BC4795253,PA-1506187-CA5218C91FBE43D0B2868F3BC4795253,Aguardando analise,Rondon do Para,0.000762475298694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345899,PA-1506187-6A4AE13BA5F946D5906ED0CA2F80D307,PA-1506187-6A4AE13BA5F946D5906ED0CA2F80D307,Aguardando analise,Rondon do Para,0.0008387238436004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
